Particpant,Age,Gender,Condition,catch 1,5,7,3,6,4,check 2,3,5,7,4,6,check 3,4,6,3,5,7,check 4,check 5,S.5,S.7,S.3,S.6,S.4,check 6,S.3,S.5,S.7,S.4,S.6,check 7,S.4,S.6,S.3,S.5,S.7,check 8,Notes
8/6/2021-04,5.58,F,Many-First,x,some,many,some,many,many,x,some,many,many,some,some,x,other,many,some,many,some,x,x,some,many,some,many,some,x,some,some,some,other,some,x,skipped,many,skipped,many,many,x,child was very distracted for last block/walking away and playing with the computer
8/7/2021-02,4.6,F,Many-First,x,some,many,some,many,some,x,some,some,many,some,many,x,some,some,some,some,many,x,x,some,some,some,many,some,x,some,some,many,some,some,x,some,many,some,some,many,x,
8/8/2021-01,4.9,F,Many-First,x,some,many,some,other- a lot,many,x,many,many,other- a lot,many,many,x,many,some,some,some,many,x,x,many,many,some,many,many,x,some,many,some,many,some,x,many,other- all,some,many,many,x,
8/10/2021-02,5.77,F,Many-First,skipped,some,many,some,many,some,x,some,some,many,some,many,x,some,some,some,some,many,x,x,some,many,some,many,some,x,some,some,many,some,many,x,some,some,some,some,many,x,
8/10/2021-04,4.11,F,Many-First,x,some,inaudible,some,some,some,x,some,many,many,some,some,none,some,some,some,some,some,x,x,many,some,some,some,some,x,some,many,some,some,some,x,some,some,some,some,some,x,
8/12/2021-01,4.9,F,Many-First,x,many,many,some,many,many,x,some,many,many,many,many,x,some,many,some,many,many,x,x,some,many,some,many,some,x,some,some,many,some,many,x,some,many,some,many,many,x,
8/12/2021-03,5.15,M,Many-First,x,some,many,some,many,some,x,some,many,many,some,some,x,some,many,some,many,many,x,x,some,many,some,many,some,x,some,other ,many,many,some,x,some,some,some,some,many,x,
8/19/2021-01,5.92,F,Many-First,x,some,many,some,many,some,x,some,some,many,some,many,x,some,many,some,some,many,x,x,some,many,some,many,some,x,some,some,many,some,many,x,some,many,some,some,many,x,
8/19/2021-02,4.87,M,Many-First,x,many,many,some,many,some,x,some,many,many,some,many,x,some,many,some,many,many,x,x,many,many,many,many,some,x,some,many,many,many,some,x,many,many,some,some,many,x,
8/20/2021-01,4.85,M,Many-First,x,some,some,some,some,some,skipped,some,some,some,some,some,skipped,skipped,skipped,skipped,skipped,some,x,x,some,some,some,some,some,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,some,x,some skipped because child was bored
